Date,Close,Percent Change,Volume
12/5/2019,1131.92,0.00%,"358,839,860.00"
12/8/2019,1135.37,0.00%,"287,527,825.00"
12/9/2019,1148.89,0.00%,"464,220,392.00"
12/10/2019,1151.36,0.00%,"500,328,915.00"
12/11/2019,1161.47,0.00%,"551,377,852.00"
12/12/2019,1172.64,0.00%,"675,173,000.00"
12/15/2019,1167.86,0.00%,"686,076,111.00"
12/16/2019,1154.11,0.00%,"407,900,555.00"
12/17/2019,1155.37,0.00%,"279,244,135.00"
12/18/2019,1152.07,0.00%,"294,709,858.00"
12/19/2019,1149.64,0.00%,"419,088,133.00"
12/22/2019,1150.81,0.00%,"374,466,465.00"
12/23/2019,1168.58,0.00%,"595,764,544.00"
12/24/2019,1166.21,0.00%,"721,642,965.00"
12/25/2019,1168.03,0.00%,"538,340,829.00"
12/26/2019,1167.41,0.00%,"588,677,887.00"
12/29/2019,1162.43,0.00%,"422,453,909.00"
12/30/2019,1167.95,0.00%,"622,363,488.00"
12/31/2019,1166.03,0.00%,"442,256,156.00"
1/1/2020,1169.5,0.00%,"372,988,301.00"
1/2/2020,1166.21,0.00%,"532,211,211.00"
1/5/2020,1182.31,0.00%,"712,425,827.00"
1/6/2020,1200.69,0.00%,"842,582,150.00"
1/7/2020,1216.92,0.00%,"1,102,736,748.00"
1/8/2020,1209.6,0.00%,"732,169,261.00"
1/9/2020,1213.11,0.00%,"837,035,757.00"
1/12/2020,1255.72,0.00%,"1,335,747,967.00"
1/13/2020,1270.86,0.00%,"1,665,520,000.00"
1/14/2020,1263.38,0.00%,"1,026,443,666.00"
1/15/2020,1284.23,0.00%,"893,677,000.00"
1/16/2020,1310.23,0.00%,"1,682,330,000.00"
1/19/2020,1343.65,0.00%,"2,090,877,917.00"
1/20/2020,1317.11,0.00%,"1,953,780,000.00"
1/21/2020,1320.47,0.00%,"1,519,976,760.00"
1/22/2020,1313.42,0.00%,"1,581,381,364.00"
1/23/2020,1297.47,0.00%,"1,384,209,412.00"
1/26/2020,1276.68,0.00%,"965,018,662.00"
1/27/2020,1300.62,0.00%,"917,359,865.00"
1/28/2020,1306.15,0.00%,"1,400,467,805.00"
1/29/2020,1305.88,0.00%,"1,293,711,383.00"
1/30/2020,1325.38,0.00%,"1,966,219,749.00"
2/2/2020,1346.64,0.00%,"2,077,987,799.00"
2/3/2020,1349.13,0.00%,"1,611,719,203.00"
2/4/2020,1337.04,0.00%,"1,570,166,163.00"
2/5/2020,1342.36,0.00%,"1,082,483,909.00"
2/6/2020,1333.69,0.00%,"1,049,345,436.00"
2/9/2020,1319.99,0.00%,"950,402,584.00"
2/10/2020,1324.26,0.00%,"932,086,055.00"
2/11/2020,1341.38,0.00%,"1,532,250,440.00"
2/12/2020,1345.97,0.00%,"1,509,784,311.00"
2/13/2020,1344.59,0.00%,"1,773,805,746.00"
2/16/2020,1363.97,0.00%,"1,978,108,701.00"
2/17/2020,1398.24,0.00%,"2,687,533,442.00"
2/18/2020,1400.01,0.00%,"2,125,977,034.00"
2/19/2020,1405.25,0.00%,"1,628,841,389.00"
2/20/2020,1434.57,0.00%,"2,785,004,908.00"
2/23/2020,1504.14,0.00%,"3,608,526,354.00"
2/24/2020,1502.18,0.00%,"3,410,516,278.00"
2/25/2020,1545.19,0.00%,"2,992,160,524.00"
2/26/2020,1596.13,0.00%,"4,154,883,092.00"
2/27/2020,1632.17,0.00%,"4,460,536,251.00"
3/1/2020,1591.36,0.00%,"4,847,437,505.00"
3/2/2020,1495.3,0.00%,"2,154,428,215.00"
3/3/2020,1509.67,0.00%,"3,851,622,996.00"
3/4/2020,1441.2,0.00%,"2,908,472,603.00"
3/5/2020,1435.7,0.00%,"2,457,093,463.00"
3/10/2020,1349.31,0.00%,"1,076,696,300.00"
